n,r,p
"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})",[:WORKS_IN],"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})"
"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})",[:BELONGS_TO],"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})"
"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})",[:IN_PROGRESS],"(:Employee {work_email: sara.dam@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770004,last_name: Dam,id: 17,first_name: Sara})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:IS_A],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:HAS_WORKED_ON],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:HAS],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:OCCUPIES],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:WORKS_IN],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:BELONGS_TO],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:MEASSURED_BY],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:HAS_COMPLETED],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})",[:HAS_COMPLETED],"(:Employee {work_email: victor.holm@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770005,last_name: Holm,id: 18,first_name: Victor})"
"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})",[:IS_A],"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})"
"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})"
"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})",[:HAS],"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})"
"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})",[:OCCUPIES],"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})"
"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})",[:WORKS_IN],"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})"
"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})",[:BELONGS_TO],"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})"
"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})",[:IN_PROGRESS],"(:Employee {work_email: julie.moller@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770006,last_name: Møller,id: 19,first_name: Julie})"
"(:Company {name: TechCorp,location: Copenhagen,id: 1,buisiness_field: Software})",null,"(:Company {name: TechCorp,location: Copenhagen,id: 1,buisiness_field: Software})"
"(:CompletionInterval {id: 1,time_to_complete: 1-2 hours})",[:FINNISHED_IN],"(:CompletionInterval {id: 1,time_to_complete: 1-2 hours})"
"(:CompletionInterval {id: 1,time_to_complete: 1-2 hours})",[:FINNISHED_IN],"(:CompletionInterval {id: 1,time_to_complete: 1-2 hours})"
"(:CompletionInterval {id: 2,time_to_complete: 3-6 hours})",[:FINNISHED_IN],"(:CompletionInterval {id: 2,time_to_complete: 3-6 hours})"
"(:CompletionInterval {id: 2,time_to_complete: 3-6 hours})",[:FINNISHED_IN],"(:CompletionInterval {id: 2,time_to_complete: 3-6 hours})"
"(:CompletionInterval {id: 2,time_to_complete: 3-6 hours})",[:FINNISHED_IN],"(:CompletionInterval {id: 2,time_to_complete: 3-6 hours})"
"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})",[:IS_A],"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})"
"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})"
"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})",[:IS_MANAGER],"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})"
"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})",[:HAS],"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})"
"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})",[:OCCUPIES],"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})"
"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})",[:WORKS_IN],"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})"
"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})",[:BELONGS_TO],"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})"
"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})",[:MEASSURED_BY],"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})"
"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})",[:HAS_COMPLETED],"(:Employee {work_email: anders.bro@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770007,last_name: Bro,id: 20,first_name: Anders})"
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:IS_A],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:HAS_WORKED_ON],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:IS_MANAGER],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:HAS],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:OCCUPIES],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:WORKS_IN],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})",[:BELONGS_TO],"(:Employee {work_email: maja.frisk@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 77770008,last_name: Frisk,id: 21,first_name: Maja})"
